interval_no,interval_name,myr_bin_name,myr_bin_no
1009,Sandbian,Ordovician 4,8
357,Sherman,Ordovician 4,8
358,Kirkfield,Ordovician 4,8
359,Rockland,Ordovician 4,8
199,Longvillian,Ordovician 4,8
200,Soudleyan,Ordovician 4,8
329,Zahorany,Ordovician 4,8
201,Harnagian,Ordovician 4,8
579,Burrellian,Ordovician 4,8
330,Vinice,Ordovician 4,8
331,Letna,Ordovician 4,8
342,Keila,Ordovician 4,8
787,early Late Ordovician,Ordovician 4,8
344,Idavere,Ordovician 4,8
599,Gisbornian,Ordovician 4,8
590,Dobrotivian,Ordovician 4,8
332,Liben,Ordovician 4,8
360,Black River,Ordovician 4,8
589,Volfreyan,Ordovician 4,8
202,Costonian,Ordovician 4,8
580,Aurelucian,Ordovician 4,8
206,Late Llanvirn,Ordovician 3,7
347,Lasnamagi,Ordovician 3,7
348,Aseri,Ordovician 3,7
581,Llandeilian,Ordovician 3,7
591,Oretanian,Ordovician 3,7
346,Uhaku,Ordovician 3,7
582,Abereiddian,Ordovician 3,7
205,Early Llandeilo,Ordovician 3,7
333,Dobrotiva,Ordovician 3,7
66,Llanvirn,Ordovician 3,7
630,Aluoja,Ordovician 3,7
207,Early Llanvirn,Ordovician 3,7
334,Sarka,Ordovician 3,7
631,Valaste,Ordovician 2,6
632,Hunderum,Ordovician 2,6
583,Fennian,Ordovician 2,6
67,Arenig,Ordovician 2,6
335,Klabava,Ordovician 2,6
1079,Dapingian,Ordovician 2,6
788,early Middle Ordovician,Ordovician 2,6
350,Volkhov,Ordovician 2,6
640,Volkhovian,Ordovician 2,6
633,Langevoja,Ordovician 2,6
569,Rangerian,Ordovician 2,6
634,Vaana,Ordovician 2,6
635,Saka,Ordovician 2,6
626,Valhallan,Ordovician 2,6
363,Cassinian,Ordovician 2,6
613,Dawan,Ordovician 2,6
614,Daobaowan,Ordovician 2,6
596,Arenigian,Ordovician 2,6
619,Ningkuo,Ordovician 2,6
624,Yushanian,Ordovician 2,6
601,Castlemainian,Ordovician 2,6
1010,Floian,Ordovician 2,6
585,Moridunian,Ordovician 2,6
636,Billingen,Ordovician 2,6
789,late Early Ordovician,Ordovician 2,6
641,Latorpian,Ordovician 2,6
570,Blackhillsian,Ordovician 2,6
584,Whitlandian,Ordovician 2,6
602,Chewtonian,Ordovician 2,6
603,Bendigonian,Ordovician 2,6
68,Tremadoc,Ordovician 1,5
366,Gasconadian,Ordovician 1,5
559,Tremadocian,Ordovician 1,5
572,Stairsian,Ordovician 1,5
586,Migneintian,Ordovician 1,5
609,Yichang,Ordovician 1,5
573,Skullrockian,Ordovician 1,5
605,Warendian,Ordovician 1,5
651,Demingian,Ordovician 1,5
587,Cressagian,Ordovician 1,5
365,Deming,Ordovician 1,5
615,Lianghekou,Ordovician 1,5
625,Ichangian,Ordovician 1,5
828,Ungurian,Ordovician 1,5
628,Varangu,Ordovician 1,5
629,Pakerort,Ordovician 1,5
790,Mansian,Ordovician 1,5
800,Datsonian,Ordovician 1,5
1112,Stage 10,Cambrian 4,4
801,Payntonian,Cambrian 4,4
780,Furongian,Cambrian 4,4
829,Batyrbaian,Cambrian 4,4
830,Aksayan,Cambrian 4,4
822,Sunwaptan,Cambrian 4,4
791,Ketyan,Cambrian 4,4
1085,Niuchehean,Cambrian 4,4
810,Taoyuanian,Cambrian 4,4
792,Yurakian,Cambrian 4,4
322,Franconian,Cambrian 4,4
313,Maentwrog,Cambrian 4,4
835,Merionethian,Cambrian 4,4
323,Dresbachian,Cambrian 4,4
208,Dolgellian,Cambrian 4,4
831,Sakian,Cambrian 4,4
69,Merioneth,Cambrian 4,4
795,Tavgian,Cambrian 4,4
209,Maentwrogian,Cambrian 4,4
823,Steptoean,Cambrian 4,4
311,Dolgelly,Cambrian 4,4
819,Millardan,Cambrian 4,4
321,Trempealeauan,Cambrian 4,4
312,Festiniogian,Cambrian 4,4
1113,Jiangshanian,Cambrian 4,4
1114,Paibian,Cambrian 4,4
802,Iverian,Cambrian 4,4
1087,Guzhangian,Cambrian 4,4
811,Waergangian,Cambrian 4,4
793,Ensyan,Cambrian 4,4
812,Youshuanian,Cambrian 4,4
803,Idamean,Cambrian 4,4
794,Maduan,Cambrian 4,4
804,Mindyallan,Cambrian 4,4
796,Nganasanian,Cambrian 4,4
1086,Paibian,Cambrian 4,4
805,Boomerangian,Cambrian 3,3
797,Mayan,Cambrian 3,3
813,Wangcunian,Cambrian 3,3
833,Zhanarykian,Cambrian 3,3
211,Solvan,Cambrian 3,3
317,Hafotty,Cambrian 3,3
1082,Wulingian,Cambrian 3,3
314,Clogau,Cambrian 3,3
836,Arcadian,Cambrian 3,3
324,Albertian,Cambrian 3,3
315,Gamlan,Cambrian 3,3
70,St Davids,Cambrian 3,3
210,Menevian,Cambrian 3,3
316,Barmouth,Cambrian 3,3
781,Middle Cambrian,Cambrian 3,3
806,Undillan,Cambrian 3,3
1117,Stage 5,Cambrian 3,3
807,Floran,Cambrian 3,3
834,Tyesaian,Cambrian 3,3
825,Delamaran,Cambrian 3,3
798,Amgan,Cambrian 3,3
814,Taijangian,Cambrian 3,3
808,Templetonian,Cambrian 3,3
749,Toyonian,Cambrian 2,2
816,Nangaoian,Cambrian 2,2
212,Lenian,Cambrian 2,2
318,Rhinog,Cambrian 2,2
750,Botomian,Cambrian 2,2
1083,Qiandongian,Cambrian 2,2
826,Dyeran,Cambrian 2,2
809,Ordian,Cambrian 2,2
815,Duyunian,Cambrian 2,2
837,Branchian,Cambrian 2,2
325,Waucoban,Cambrian 2,2
71,Caerfai,Cambrian 2,2
1119,Stage 3,Cambrian 2,2
213,Atdabanian,Cambrian 2,2
319,Llanbedr,Cambrian 2,2
827,Montezuman,Cambrian 2,2
320,Dolwen,Cambrian 2,2
214,Tommotian,Cambrian 2,2
1120,Stage 2,Cambrian 2,2
1121,Fortunian,Cambrian 1,1
799,Nemakit-Daldynian,Cambrian 1,1
748,Manykaian,Cambrian 1,1
