interval_no,interval_name,myr_bin_name,myr_bin_no
963,Heretaungan,Cenozoic 2,45
265,Gardnerbuttian,Cenozoic 2,45
735,Casamayoran,Cenozoic 2,45
90,Early Eocene,Cenozoic 2,45
1006,Bumbanian,Cenozoic 2,45
1033,MP 10,Cenozoic 2,45
1034,MP 8 + 9,Cenozoic 2,45
1035,MP 7,Cenozoic 2,45
964,Mangaorapan,Cenozoic 2,45
267,Lysitean,Cenozoic 2,45
268,Graybullian,Cenozoic 2,45
231,Wasatchian,Cenozoic 2,45
269,Sandcouleean,Cenozoic 2,45
266,Lostcabinian,Cenozoic 2,45
965,Waipawan,Cenozoic 2,45
108,Lutetian,Cenozoic 2,45
109,Ypresian,Cenozoic 2,45
271,Cf2,Cenozoic 1,44
1036,MP 6,Cenozoic 1,44
736,Riochican,Cenozoic 1,44
272,Cf1,Cenozoic 1,44
1037,MP 1 - 5,Cenozoic 1,44
1007,Gashatan,Cenozoic 1,44
966,Teurian,Cenozoic 1,44
91,Late Paleocene,Cenozoic 1,44
232,Clarkforkian,Cenozoic 1,44
270,Cf3,Cenozoic 1,44
276,Ti3,Cenozoic 1,44
277,Ti2,Cenozoic 1,44
273,Ti6,Cenozoic 1,44
278,Ti1,Cenozoic 1,44
274,Ti5,Cenozoic 1,44
233,Tiffanian,Cenozoic 1,44
275,Ti4,Cenozoic 1,44
737,Itaboraian,Cenozoic 1,44
783,Middle Paleocene,Cenozoic 1,44
738,Peligran,Cenozoic 1,44
234,Torrejonian,Cenozoic 1,44
281,To1,Cenozoic 1,44
235,Dragonian,Cenozoic 1,44
92,Early Paleocene,Cenozoic 1,44
279,To3,Cenozoic 1,44
280,To2,Cenozoic 1,44
739,Tiupampan,Cenozoic 1,44
282,Pu3,Cenozoic 1,44
236,Puercan,Cenozoic 1,44
283,Pu2,Cenozoic 1,44
284,Pu1,Cenozoic 1,44
38,Paleocene,Cenozoic 1,44
110,Thanetian,Cenozoic 1,44
743,Selandian,Cenozoic 1,44
111,Danian,Cenozoic 1,44
744,Lancian,Cretaceous 8,43
655,Early Maastrichtian,Cretaceous 8,43
745,Edmontonian,Cretaceous 8,43
654,Late Maastrichtian,Cretaceous 8,43
112,Maastrichtian,Cretaceous 8,43
658,Early Campanian,Cretaceous 7,42
746,Judithian,Cretaceous 7,42
656,Late Campanian,Cretaceous 7,42
747,Aquilan,Cretaceous 7,42
657,Middle Campanian,Cretaceous 7,42
113,Campanian,Cretaceous 7,42
661,Early Santonian,Cretaceous 6,41
968,Piripauan,Cretaceous 6,41
659,Late Santonian,Cretaceous 6,41
660,Middle Santonian,Cretaceous 6,41
969,Teratan,Cretaceous 6,41
662,Late Coniacian,Cretaceous 6,41
663,Middle Coniacian,Cretaceous 6,41
664,Early Coniacian,Cretaceous 6,41
667,Early Turonian,Cretaceous 6,41
970,Mangaotanean,Cretaceous 6,41
665,Late Turonian,Cretaceous 6,41
666,Middle Turonian,Cretaceous 6,41
114,Santonian,Cretaceous 6,41
115,Coniacian,Cretaceous 6,41
116,Turonian,Cretaceous 6,41
670,Early Cenomanian,Cretaceous 5,40
668,Late Cenomanian,Cretaceous 5,40
669,Middle Cenomanian,Cretaceous 5,40
972,Ngaterian,Cretaceous 5,40
117,Cenomanian,Cretaceous 5,40
671,Late Albian,Cretaceous 4,39
973,Motuan,Cretaceous 4,39
974,Urutawan,Cretaceous 4,39
672,Middle Albian,Cretaceous 4,39
673,Early Albian,Cretaceous 4,39
118,Albian,Cretaceous 4,39
674,Late Aptian,Cretaceous 3,38
675,Early Aptian,Cretaceous 3,38
119,Aptian,Cretaceous 3,38
676,Late Barremian,Cretaceous 2,37
677,Early Barremian,Cretaceous 2,37
679,Early Hauterivian,Cretaceous 2,37
678,Late Hauterivian,Cretaceous 2,37
120,Barremian,Cretaceous 2,37
121,Hauterivian,Cretaceous 2,37
681,Early Valanginian,Cretaceous 1,36
680,Late Valanginian,Cretaceous 1,36
683,Middle Berriasian,Cretaceous 1,36
684,Early Berriasian,Cretaceous 1,36
682,Late Berriasian,Cretaceous 1,36
122,Valanginian,Cretaceous 1,36
123,Berriasian,Cretaceous 1,36
685,Late Tithonian,Jurassic 6,35
